variable_code,variable_question
E129,"Some people favour, and others are against, having this country provide economic aid to poorer countries. Do you think that this country should provide more or less economic aid to poorer countries?  Would you say we should give …"
E129A,"In 2003, this country’s government allocated [a tenth of one percent]* of the national income to foreign aid—that is, [$US 38.05]** per person. Do you think this amount is too low, too high, or about right?"
E129B,How much more do you think this country should contribute?
E129C,Would you be willing to pay higher taxes in order to increase your country’s foreign aid to poor countries?
E129D,"Some people favor, and others are against, having this country provide economic aid to poorer countries. Are you personally..."
E130,"Would you say that today a larger share, about the same share, or a smaller shares of the people in this country are living in poverty than were ten years ago?."
E131,"Why, in your opinion, are there people in this country who live in need? Here are two opinions: Which comes closest to your view?."
E132,"In your opinion, do most poor people in this country have a chance of escaping from poverty, or is there very little of chance escaping?."
E133,"Do you think that what the government is doing for people in poverty in this country is about the right amount, too much, or too little?."
E134,"In some economically less developed countries, many people are living in poverty. Do you think that what the other countries of the world are doing to help them is about right, too much or too little?."
E135,"Some people believe that certain kinds of problems could be better handled by the United Nations than by the various national governments. Others think that these problems should be left entirely to the respective national governments; while others think they would be handled best by the national governments working together with co-ordination by the United Nations. I’m going to mention some problems. For each one, would you tell me whether you think that policies in this area should be decided by the national governments, by the United Nations, or by the national governments with UN co-ordination?"
E136,"Some people believe that certain kinds of problems could be better handled by the United Nations than by the various national governments. Others think that these problems should be left entirely to the respective national governments; while others think they would be handled best by the national governments working together with co-ordination by the United Nations. I’m going to mention some problems. For each one, would you tell me whether you think that policies in this area should be decided by the national governments, by the United Nations, or by the national governments with UN co-ordination?"
E137,"Some people believe that certain kinds of problems could be better handled by the United Nations than by the various national governments. Others think that these problems should be left entirely to the respective national governments; while others think they would be handled best by the national governments working together with co-ordination by the United Nations. I’m going to mention some problems. For each one, would you tell me whether you think that policies in this area should be decided by the national governments, by the United Nations, or by the national governments with UN co-ordination?"
E138,"Some people believe that certain kinds of problems could be better handled by the United Nations than by the various national governments. Others think that these problems should be left entirely to the respective national governments; while others think they would be handled best by the national governments working together with co-ordination by the United Nations. I’m going to mention some problems. For each one, would you tell me whether you think that policies in this area should be decided by the national governments, by the United Nations, or by the national governments with UN co-ordination?"
E139,"Some people believe that certain kinds of problems could be better handled by the United Nations than by the various national governments. Others think that these problems should be left entirely to the respective national governments; while others think they would be handled best by the national governments working together with co-ordination by the United Nations. I’m going to mention some problems. For each one, would you tell me whether you think that policies in this area should be decided by the national governments, by the United Nations, or by the national governments with UN co-ordination?"
E140,"For the following problems, do you agree that this country can not solve problems by itself, but needs to collaborate with international organizations?"
E141,"For the following problems, do you agree that this country can not solve problems by itself, but needs to collaborate with international organizations?"
E142,"For the following problems, do you agree that this country can not solve problems by itself, but needs to collaborate with international organizations?"
E143,How about people from other countries coming here to work. Which one of the following do you think the government should do?
E147,"What should a society provide? Please tell me for each statement if it is important or unimportant to you:  Guaranteeing that basic needs are met for all, in terms of food, housing, clothing, education, health"
E150,How often do you follow politics in the news on television or on the radio or in the daily papers?
E154,To what extent do you feel concerned about the living conditions of:  People in your neighbourhood
E155,To what extent do you feel concerned about the living conditions of:  The people of the region you live in
E156,To what extent do you feel concerned about the living conditions of:   Your fellow countrymen
E157,To what extent do you feel concerned about the living conditions of:  Europeans
E158,To what extent do you feel concerned about the living conditions of:  Humankind
E159,To what extent do you feel concerned about the living conditions of the following groups living in your country:  Elderly people
E160,To what extent do you feel concerned about the living conditions of the following groups living in your country:  Nemployed people
E161,To what extent do you feel concerned about the living conditions of the following groups living in your country:  Immigrants
E162,To what extent do you feel concerned about the living conditions of the following groups living in your country:  Sick and disabled people
E179WVS,"If there were a national election tomorrow, for which party on this list would you vote?. If ""Don't know"": Which party appeals to you most?  [Each country provides codes to cover all major parties in given society]"
E180WVS,"If there were a national election tomorrow, for which party on this list would you vote?. If ""Don't know"": Which party appeals to you most?    [Each country provides codes to cover all major parties in given society]"
E181_01,Which (political) party appeals to you most?
E182,And is there a party that you would never vote for? (Code one answer):
E184,"Every country faces a number of regional and international problems, which are the problems you consider very important (very serious), important, somewhat important, less important or not important?."
E185,"Every country faces a number of regional and international problems, which are the problems you consider very important (very serious), important, somewhat important, less important or not important?."
E186,"Every country faces a number of regional and international problems, which are the problems you consider very important (very serious), important, somewhat important, less important or not important?."
E188,Do you ever watch television? If yes: How much time do you usually spend watching television on an average weekday (NOT WEEKENDS)?
E189,"Do you agree strongly, agree, disagree or disagree strongly with the following statement: 'Television is my most important form of entertainment.'"
E190,Why are there people in this country who live in need? Here are four possible reasons. Which one reason do you consider to be most important?
E191,Why are there people in this country who live in need? Here are four possible reasons. Which one reason do you consider to be most important?
E192,I'd like to ask you some groups that some people feel are threatening to the social political order in this society. Would you please select from the following list the one group or organization that you like least?.
E193,Do you think that [least liked group] should be allowed to ...
E194,Do you think that [least liked group] should be allowed to ...
E195,Do you think that [least liked group] should be allowed to ...
E196,How widespread do you think bride taking and corruption is in this country?
E198,Here's one more statement. How strongly do you agree or disagree with it?.
E203,Do you agree or disagree that the rapid implementation of market economic reforms will have a negative impact on national stability?
E204,Which of the following statements best expresses your opinion about market economic reforms?
E205,Do you agree or disagree that [country] political parties serve the social and political needs of the [country] people?
E206,Do you believe that free and fair elections will reduce terrorism?
E207,Indicate whether you agree or disagree that [country] should have very close relations with each of the following
E208,Indicate whether you agree or disagree that Algeria should have very close relations with each of the following
E209,"If your economic situation get better, would you persist to immigrate abroad"
E211,Which of the following best expresses your opinion about the problem of Palestine and Israel?
E212,"As you know, a group of religious fundamentalists hijacked four civilian airliners in September and crashed them into buildings in New York and Washington, D.C. killing several thousand people. What is your opinion of this action?"
E213,Do you agree or disagree that a married woman should not work outside the home unless forced to do so by economic circumstances?
E214,Do you agree or disagree that Western democracy is the best political system for Algeria?
E215,Do you agree or disagree with each of the following statements about terrorism:
E216,Do you agree or disagree with each of the following statements about terrorism:
E217,"Now, I would like to read some statements and ask how much you agree or disagree with each of these statements. For these questions, a 1 means that you “completely disagree” and a 10 means that you “completely agree.”  Science and technology are making our lives healthier, easier, and more comfortable"
E218,"Now, I would like to read some statements and ask how much you agree or disagree with each of these statements. For these questions, a 1 means that you “completely disagree” and a 10 means that you “completely agree.”  Because of science and technology, there will be more opportunities for the next generation"
E219,"Now, I would like to read some statements and ask how much you agree or disagree with each of these statements. For these questions, a 1 means that you “completely disagree” and a 10 means that you “completely agree.”"
E220,"Now, I would like to read some statements and ask how much you agree or disagree with each of these statements. For these questions, a 1 means that you “completely disagree” and a 10 means that you “completely agree.”  We depend too much on science and not enough on faith"
E221B,"Tell me for each of these activities how often you have done it in the last year (Only to those who said they ""have done"" the given protest activity):  ""Attending peaceful demonstrations"""
E222,"Now I’d like you to look at this card. I’m going to read out some forms of political action that people can take, and I’d like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it (read out and code one answer for each action) Other (write in):___________:"
E222B,Have you or have you not done any of these activities in the last five years? (Read out and code one answer for each action): Other (write in):____________
E224,Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy  Governments tax the rich and subsidize the poor
E225,Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy  Religious authorities interpret the laws
E226,Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy  People choose their leaders in free elections
E227,Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy  People receive state aid for unemployment
E228,Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy  The army takes over when government is incompetent
E229,Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy  Civil rights protect people’s liberty from state oppression
E230,"Many things may be desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy” (read out and code one answer for each):"
E231,"Many things may be desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy” (read out and code one answer for each):"
E232,"Many things may be desirable, but not all of them are essential characteristics of democracy. Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy” (read out and code one answer for each):"
E233,Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy  Women have the same rights as men
E233A,Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy  The state makes people´s incomes equal
E233B,Please tell me for each of the following things how essential you think it is as a characteristic of democracy. Use this scale where 1 means “not at all an essential characteristic of democracy” and 10 means it definitely is “an essential characteristic of democracy  People obey their rulers
E234,"All things considered, would you say that the world is better off, or worse off, because of science and technology? Please tell me which comes closest to your view on this scale: 1 means that “the world is a lot worse off,” and 10 means that “the world is a lot better off.”  The world is better off, or worse off, because of science and technology"
E235,How important is it for you to live in a country that is governed democratically? On this scale where 1 means it is “not at all important” and 10 means “absolutely important” what position would you choose?
E236,"And how democratically is this country being governed today?. Again using a scale from 1 to 10, where 1 means that it is “not at all democratic” and 10 means that it is “completely democratic,” what position would you choose?"
E237,Have you heard of the Millennium Development Goals?
E238,I’m going to read out some  problems. Please indicate which of the following problems you consider the most serious one for the world as a whole?
E239,And which is the second most serious problem for the world as a whole? (Code one answer under “next most serious for the world”):
E240,Which of these problems do you consider the most serious one in your own country? (Code one answer under “most serious for own country”):
E241,And which is the next most serious in your own country? (Code one answer under “next most serious for own country”):
E242,"I’m going to read out another list of global problems, and goals that world leaders have set to reduce them. Indicate for each of these goals how high a priority your own country’s leaders should give to it, using this card. (Read out and code one answer for each goal):"
E243,"I’m going to read out another list of global problems, and goals that world leaders have set to reduce them. Indicate for each of these goals how high a priority your own country’s leaders should give to it, using this card. (Read out and code one answer for each goal):"
E244,"I’m going to read out another list of global problems, and goals that world leaders have set to reduce them. Indicate for each of these goals how high a priority your own country’s leaders should give to it, using this card. (Read out and code one answer for each goal): About eight out of every 100 children who are born around the world, die before their fifth birthday. The goal is to reduce this proportion by two-thirds, by 2015."
E245,"I’m going to read out another list of global problems, and goals that world leaders have set to reduce them. Indicate for each of these goals how high a priority your own country’s leaders should give to it, using this card. (Read out and code one answer for each goal):"
E246,"I’m going to read out another list of global problems, and goals that world leaders have set to reduce them. Indicate for each of these goals how high a priority your own country’s leaders should give to it, using this card. (Read out and code one answer for each goal):"
E247,"Thinking at your own country’s problems, should your country’s leaders give top priority to help reducing poverty in the world or should they give top priority to solve your own country’s problems? Use this scale where 1 means “top priority to help reducing poverty in the world” and 10 means “top priority to solve my own country’s problems.” (Code one answer):"
E248,"People use different sources to learn what is going on in their country and the world. For each of the following sources, please indicate whether you used it last week or did not use it last week to obtain information (read out and code one answer for each):"
E248B,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:  Daily newspaper"
E249,"People use different sources to learn what is going on in their country and the world. For each of the following sources, please indicate whether you used it last week or did not use it last week to obtain information (read out and code one answer for each):"
E250,"People use different sources to learn what is going on in their country and the world. For each of the following sources, please indicate whether you used it last week or did not use it last week to obtain information (read out and code one answer for each):"
E250B,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:"
E251,"People use different sources to learn what is going on in their country and the world. For each of the following sources, please indicate whether you used it last week or did not use it last week to obtain information (read out and code one answer for each):"
E252,"People use different sources to learn what is going on in their country and the world. For each of the following sources, please indicate whether you used it last week or did not use it last week to obtain information (read out and code one answer for each):"
E253,"People use different sources to learn what is going on in their country and the world. For each of the following sources, please indicate whether you used it last week or did not use it last week to obtain information (read out and code one answer for each): Internet, Email"
E253B,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:  Social media (Facebook, Twitter, etc.)"
E254,"People use different sources to learn what is going on in their country and the world. For each of the following sources, please indicate whether you used it last week or did not use it last week to obtain information (read out and code one answer for each):"
E254B,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:  Talk with friends or colleagues"
E255,"How often, if ever, do you use a personal computer?"
E256,"Generally speaking, do you think of yourself as a Christian Democrat, a Social Democrat, a supporter of some other party or don’t you have any strong party loyalty?"
E257,Did you vote in your country’s recent elections to the national parliament?
E258,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:"
E258B,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:  TV news"
E259,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:"
E259B,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:  Radio news"
E260,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:"
E260B,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:  Mobile phone"
E261,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:"
E261B,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:  Email"
E262,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:"
E262B,"People learn what is going on in this country and the world from various sources. For each of the following sources, please indicate whether you use it to obtain information daily, weekly, monthly, less than monthly or never:  Internet"
E263,Vote in elections: Local level
E264,Vote in elections: National level
E265_01,"In your view, how often do the following things occur in this country’s elections?  Votes are counted fairly"
E265_02,"In your view, how often do the following things occur in this country’s elections?  Opposition candidates are prevented from running"
E265_03,"In your view, how often do the following things occur in this country’s elections?  TV news favors the governing party"
E265_04,"In your view, how often do the following things occur in this country’s elections?  Voters are bribed"
E265_05,"In your view, how often do the following things occur in this country’s elections?  Journalists provide fair coverage of elections"
E265_06,"In your view, how often do the following things occur in this country’s elections?  Election officials are fair"
E265_07,"In your view, how often do the following things occur in this country’s elections?  Rich people buy elections"
E265_08,"In your view, how often do the following things occur in this country’s elections?  Voters are threatened with  violence at the polls"
E265_09,"In your view, how often do the following things occur in this country’s elections?  Voters are offered a genuine choice in the elections"
E265_10,"In your view, how often do the following things occur in this country’s elections?:  Women have equal opportunities to run the office"
E266,"Do you think that honest elections play an important role in deciding whether you and your family are able to make a good living?. How important would you say this is—very important, fairly important, not very important or not at all important?"
E267,"Do you think that honest elections are an important factor in whether or not this country develops economically?. How important would you say this is—very important, fairly important, not very important or not at all important?"
E268,"Now I'd like you to tell me your views on corruption – when people pay a bribe, give a gift or do a favor to other people in order to get the things they need done or the services they need. How would you place your views on corruption in [your country] on a 10-point scale where “1” means “there is no corruption in [my country]” and “10” means “there is abundant corruption in [my country]”. If your views are somewhat mixed, choose the appropriate number in between."
E269,"Among the following groups of people, how many do you believe are involved in corruption?. Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:  State authorities"
E270,"Among the following groups of people, how many do you believe are involved in corruption? Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:  Business executives"
E271,"Among the following groups of people, how many do you believe are involved in corruption? Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:  Local authorities"
E272,"Among the following groups of people, how many do you believe are involved in corruption? Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:  Civil service providers (police, judiciary, civil servants, doctors, teachers)"
E273,"Among the following groups of people, how many do you believe are involved in corruption? Tell me for each group if you believe it is none of them, few of them, most of them or all of them?:  Journalists and media"
E274,"We want to know about your experience with local officials and service providers, like police officers, lawyers, doctors, teachers and civil servants in your community. How often do you think ordinary people like yourself or people from your neighbourhood have to pay a bribe, give a gift or do a favor to these people in order to get the services you need?. Does it happen never, rarely, frequently or always?"
E275,"Can you tell me how strongly you agree or disagree with the following statement:  On the whole, women are less corrupt than men"
E276,"How high is the risk in this country to be held accountable for giving or receiving a bribe, gift or favour in return for public service? To indicate your opinion, use a 10-point scale where “1” means “no risk at all” and “10” means “very high risk”."
E277,"Comparing your standard of living with your parents’ standard of living when they were about your age, would you say that you are better off, worse off or about the same?"
E278,"Nowadays there’s a lot of talk about international organizations. People sometimes say that international organizations should prioritize improving people’s lives, even if this may imply that decisions are not made democratically. What do you think should international organizations prioritize, being effective or being democratic?. If your views are somewhat mixed, choose the appropriate number in between."
E289,"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:  Encouraging others to vote"
E290,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Political violence"
E279,"Here are some questions about international organizations. Many people don't know the answers to these questions, but if you do please tell me.   Five countries have permanent seats on the Security Council of the United Nations. Which ones of the following is not a member?"
E280,"Here are some questions about international organizations. Many people don't know the answers to these questions, but if you do please tell me.  Where are the headquarters of the International Monetary Fund (IMF) located?"
E281,"Here are some questions about international organizations. Many people don't know the answers to these questions, but if you do please tell me.  Which of the following problems does the organization Amnesty International deal with?"
E282,"Now I’d like you to look at this card. I’m going to read out some other forms of political action that people can take using Internet and social media tools like Facebook, Twitter etc., and I’d like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it:  Searching information about politics and political events"
E283,"Now I’d like you to look at this card. I’m going to read out some other forms of political action that people can take using Internet and social media tools like Facebook, Twitter etc., and I’d like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it:  Signing an electronic petition"
E284,"Now I’d like you to look at this card. I’m going to read out some other forms of political action that people can take using Internet and social media tools like Facebook, Twitter etc., and I’d like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it:  Encouraging other people to take any form of political action"
E285,"Now I’d like you to look at this card. I’m going to read out some other forms of political action that people can take using Internet and social media tools like Facebook, Twitter etc., and I’d like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it:  Organizing political activities, events, protests"
E286,"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:  Donating to a group or campaign"
E287,"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:  Contacting a government official"
E288,"What about these forms of political action and social activism that people can take?. Please, tell me for each of them if you have done any of these things, whether you might do it or would never under any circumstances do it:  Encouraging others to take action about political issues"
E291,How much would you say the political system in your country allows people like you to have a say in what the government does?
F001,"How often, if at all, do you think about the meaning and purpose of life? (Read out in reverse order for alternate contacts)"
F003,Do you ever think about death? Would you say ...
F004,I am going to read out a list of statements about the meaning of life. Please indicate whether you agree or disagree with each of them. (Read out in reverse order for alternate contacts)
F005,I am going to read out a list of statements about the meaning of life. Please indicate whether you agree or disagree with each of them. (Read out in reverse order for alternate contacts)
F006,I am going to read out a list of statements about the meaning of life. Please indicate whether you agree or disagree with each of them. (Read out in reverse order for alternate contacts)
F007,I am going to read out a list of statements about the meaning of life. Please indicate whether you agree or disagree with each of them. (Read out in reverse order for alternate contacts)
F008,I am going to read out a list of statements about the meaning of life. Please indicate whether you agree or disagree with each of them. (Read out in reverse order for alternate contacts)
F009,"I am going to read out a list of statements about the meaning of life. Please indicate whether you agree or disagree with each of them. (Read out in reverse order for alternate contacts)  In my opinion, sorrow and suffering only have meaning if you believ"
F010,I am going to read out a list of statements about the meaning of life. Please indicate whether you agree or disagree with each of them. (Read out in reverse order for alternate contacts)
F022,Here are two statements which people sometimes make when discussing good and evil. Which one comes closest to your own point of view?
F024,Do you belong to a religious denomination?
F025,"Do you belong to a religion or religious denomination?. If yes, which one?"
F025_01,Which one?
F027,Which one is your former religious denomination?
F028,"Apart from weddings, funerals and christenings, about how often do you attend religious services these days?"
F028B,"Apart from weddings and funerals, about how often do you pray?"
F029,Were you brought up religiously at home?
F030,"Apart from weddings, funerals and christenings, about how often did you attend religious services when you were 12 years old?"
F031,Do you personally think it is important to hold a religious service for any of the following events?
F032,Do you personally think it is important to hold a religious service for any of the following events?
F033,Do you personally think it is important to hold a religious service for any of the following events?
F034,"Independently of whether you go to church or not, would you say you are…"
F035,"Generally speaking, do you think that the churches in your country are giving adequate answers to ...((Read out and code one answer for each))"
F036,"Generally speaking, do you think that the churches in your country are giving adequate answers to ...((Read out and code one answer for each))"
F037,"Generally speaking, do you think that the churches in your country are giving adequate answers to ...((Read out and code one answer for each))"
F038,"Generally speaking, do you think that the churches in your country are giving adequate answers to ...((Read out and code one answer for each))"
F040,Do you think it is proper for churches to speak out on:
F041,Do you think it is proper for churches to speak out on:
F042,Do you think it is proper for churches to speak out on:
F043,Do you think it is proper for churches to speak out on:
F044,Do you think it is proper for churches to speak out on:
F045,Do you think it is proper for churches to speak out on:
F046,Do you think it is proper for churches to speak out on:
F047,Do you think it is proper for churches to speak out on:
F048,Do you think it is proper for churches to speak out on:
F049,Do you think it is proper for churches to speak out on:
F050,"In which of the following things do you believe, if you believe in any?  God"
F051,"In which of the following things do you believe, if you believe in any?  Life after death"
F052,"Which, if any, of the following do you believe in? ((Read out and code one answer for each))"
F053,"In which of the following things do you believe, if you believe in any?  Hell"
F054,"In which of the following things do you believe, if you believe in any?  Heaven"
F055,"Which, if any, of the following do you believe in? ((Read out and code one answer for each))"
F057,"Do you believe in re-incarnation, that is, that we had past lives and will be born into this world again?"
F059,"Which, if any, of the following do you believe in?."
F060,"Which, if any, of the following do you believe in?."
F062,Which of these statements comes closest to your beliefs?
F063,How important is God in your life?. Please use this scale to indicate. 10 means “very important” and 1 means “not at all important.”:
F064,Do you find that you get comfort and strength from religion?
F065,"Do you take some moments of prayer, meditation or contemplation or something like that?"
F066,How often do you pray to God outside of religious services? Would you say ...
F067,How often do you pray to God outside of religious services? Would you say...
F102,How much do you agree or disagree with each of the following statement:
F103,How much do you agree or disagree with each of the following statement:
F104,How much do you agree or disagree with each of the following statement:
F105,How much do you agree or disagree with each of the following statement:
F108,How much do you agree or disagree with each of the following statement:
F109,How much do you agree or disagree with each of the following statement:
F110,How much do you agree or disagree with each of the following statement:
F111,How much do you agree or disagree with each of the following statement:
F114A,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Claiming government benefits to which you are not entitled"
F114E,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Terrorism as a political, ideological or religious mean"
F114B,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Stealing property"
F114C,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Parents beating children"
F114D,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Violence against other people"
F115,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Avoiding a fare on public transport"
F116,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Cheating on taxes if you have a chance"
F117,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Someone accepting a bribe in the course of their duties"
F118,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Homosexuality"
F119,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Prostitution"
F120,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Abortion"
F121,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Divorce"
F122,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Euthanasia"
F123,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Suicide"
F124,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. (Read out statements. Code one answer for each statement)."
F125,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. (Read out statements. Code one answer for each statement)."
F126,"Please tell me for each of the following whether you think it can always be justified, never be justified, or something in between, using this card.  Do you justify: taking soft drugs"
F127,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. (Read out statements. Code one answer for each statement)."
F128,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. (Read out statements. Code one answer for each statement)."
F129,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. (Read out statements. Code one answer for each statement)."
F130,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. (Read out statements. Code one answer for each statement)."
F132,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Having casual sex"
F135,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. (Read out statements. Code one answer for each statement)."
F135A,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Sex before marriage"
F136,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. (Read out statements. Code one answer for each statement).  Political assassinations"
F139,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card."
F140,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.  Keeping money that you have found"
F141,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card."
F142,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card."
F143,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card."
F144,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card."
F144_01,"Please tell me for each of the following whether you think it can always be justified, never be justified, or something in between, using this card.  Do you justify: artificial insemination or in-vitro fertilization"
F144_02,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card.   Death penalty"
F164,"Today as in the past, Muslim scholars and jurists sometimes disagree about the proper interpretation of Islam in response to present-day issues. For each of the statements listed below, would you please indicate whether you agree strongly, agree, disagree, or disagree strongly with the interpretation of Islam that is presented?  Islam requires woman to dress modestly but does not require cover face with veil"
F165,"Today as in the past, Muslim scholars and jurists sometimes disagree about the proper interpretation of Islam in response to present-day issues. For each of the statements listed below, would you please indicate whether you agree strongly, agree, disagree, or disagree strongly with the interpretation of Islam that is presented?"
F166,"Today as in the past, Muslim scholars and jurists sometimes disagree about the proper interpretation of Islam in response to present-day issues. For each of the statements listed below, would you please indicate whether you agree strongly, agree, disagree, or disagree strongly with the interpretation of Islam that is presented?  By requiring that a man treat all of his wives equally, the true intent of Islam is to prohibit a man from taking more than one wife"
F167,"Today as in the past, Muslim scholars and jurists sometimes disagree about the proper interpretation of Islam in response to present-day issues. For each of the statements listed below, would you please indicate whether you agree strongly, agree, disagree, or disagree strongly with the interpretation of Islam that is presented?  Monarchy is a form of government that is compatible with Islam"
F168,"Today as in the past, Muslim scholars and jurists sometimes disagree about the proper interpretation of Islam in response to present-day issues. For each of the statements listed below, would you please indicate whether you agree strongly, agree, disagree, or disagree strongly with the interpretation of Islam that is presented?  Democracy is a Western form of government that is not compatible with Islam"
